iter	Passed	Remaining
0	48	48175
1	48	24337
2	49	16364
3	49	12394
4	50	10010
5	50	8403
6	51	7255
7	51	6392
8	51	5723
9	52	5213
10	53	4789
11	53	4430
12	54	4122
13	54	3858
14	55	3632
15	55	3436
16	56	3256
17	56	3099
18	57	2961
19	57	2831
20	58	2716
21	58	2609
22	59	2511
23	59	2420
24	59	2338
25	60	2262
26	60	2194
27	61	2145
28	62	2095
29	67	2196
30	75	2351
31	75	2298
32	92	2700
33	92	2634
34	101	2796
35	102	2732
36	102	2674
37	103	2618
38	103	2561
39	104	2509
40	105	2458
41	105	2412
42	113	2534
43	114	2489
44	116	2468
45	116	2423
46	117	2379
47	117	2339
48	118	2298
49	118	2258
50	119	2221
51	120	2188
52	120	2155
53	121	2121
54	121	2091
55	122	2061
56	122	2032
57	123	2003
58	123	1975
59	124	1947
60	125	1925
61	125	1901
62	126	1878
63	126	1855
64	127	1832
65	128	1812
66	128	1790
67	129	1770
68	129	1751
69	130	1730
70	130	1710
71	131	1690
72	131	1672
73	132	1653
74	132	1635
75	133	1619
76	133	1603
77	134	1587
78	134	1571
79	135	1557
80	135	1541
81	136	1526
82	136	1508
83	136	1493
84	137	1479
85	138	1467
86	138	1454
87	139	1441
88	139	1429
89	140	1418
90	140	1405
91	141	1394
92	141	1382
93	142	1370
94	142	1358
95	143	1347
96	143	1335
97	143	1324
98	144	1314
99	144	1304
100	145	1294
101	145	1283
102	146	1274
103	146	1264
104	147	1255
105	147	1246
106	148	1237
107	148	1228
108	149	1220
109	149	1211
110	150	1203
111	150	1194
112	151	1185
113	151	1177
114	152	1170
115	152	1162
116	152	1153
117	153	1145
118	153	1137
119	154	1130
120	154	1122
121	154	1114
122	155	1107
123	155	1099
124	156	1092
125	156	1085
126	156	1077
127	157	1070
128	157	1064
129	158	1058
130	158	1051
131	158	1045
132	159	1038
133	159	1032
134	160	1026
135	160	1020
136	161	1014
137	161	1009
138	162	1003
139	162	997
140	162	992
141	163	985
142	163	979
143	163	974
144	164	968
145	164	963
146	165	957
147	165	952
148	165	947
149	166	942
150	166	937
151	167	931
152	167	926
153	167	921
154	168	916
155	168	911
156	168	906
157	169	901
158	169	897
159	169	892
160	170	887
161	170	882
162	170	877
163	171	873
164	171	868
165	172	864
166	172	859
167	172	855
168	173	851
169	173	846
170	173	842
171	174	838
172	174	834
173	174	830
174	175	826
175	175	823
176	176	819
177	176	815
178	177	812
179	177	808
180	177	804
181	178	800
182	178	797
183	178	793
184	179	790
185	179	787
186	180	783
187	180	780
188	180	776
189	181	773
190	181	769
191	182	766
192	182	763
193	182	760
194	183	757
195	183	753
196	184	750
197	184	747
198	184	744
199	185	741
200	185	737
201	186	734
202	186	731
203	186	728
204	187	725
205	187	723
206	187	720
207	188	717
208	188	714
209	189	711
210	189	709
211	190	706
212	190	703
213	190	700
214	191	697
215	191	695
216	192	692
217	192	690
218	192	687
219	193	685
220	193	683
221	194	680
222	194	678
223	195	676
224	195	673
225	195	670
226	196	668
227	196	665
228	197	663
229	197	660
230	197	658
231	198	656
232	198	653
233	198	651
234	199	648
235	199	646
236	200	644
237	200	642
238	200	639
239	201	637
240	201	635
241	202	633
242	202	631
243	203	629
244	203	627
245	204	625
246	204	623
247	204	621
248	205	619
249	205	617
250	206	615
251	206	613
252	207	611
253	207	609
254	208	607
255	208	605
256	208	603
257	209	601
258	209	599
259	209	597
260	210	595
261	210	593
262	211	591
263	211	589
264	211	587
265	212	585
266	212	583
267	213	582
268	213	580
269	214	579
270	214	577
271	214	575
272	215	573
273	215	571
274	215	569
275	216	567
276	217	566
277	217	565
278	217	563
279	218	561
280	218	560
281	219	558
282	219	556
283	220	555
284	220	553
285	221	551
286	221	550
287	221	548
288	222	546
289	222	545
290	223	543
291	223	541
292	223	540
293	224	538
294	224	536
295	225	535
296	225	533
297	225	532
298	226	530
299	226	528
300	227	527
301	227	525
