iter	Passed	Remaining
0	57	57101
1	57	28785
2	58	19314
3	58	14588
4	58	11737
5	60	9947
6	60	8584
7	60	7545
8	61	6741
9	61	6100
10	62	5583
11	62	5141
12	62	4769
13	63	4449
14	63	4172
15	63	3929
16	64	3716
17	64	3525
18	64	3355
19	65	3202
20	65	3064
21	66	2943
22	66	2832
23	67	2727
24	67	2630
25	67	2541
26	68	2461
27	68	2384
28	69	2313
29	69	2246
30	69	2183
31	70	2127
32	70	2074
33	71	2024
34	71	1974
35	72	1929
36	72	1885
37	72	1845
38	73	1805
39	73	1769
40	74	1735
41	74	1702
42	75	1672
43	75	1640
44	75	1610
45	76	1580
46	76	1553
47	77	1528
48	77	1504
49	77	1480
50	78	1458
51	78	1435
52	79	1414
53	79	1394
54	79	1373
55	80	1354
56	80	1335
57	81	1320
58	81	1303
59	82	1287
60	82	1273
61	83	1259
62	83	1245
63	84	1231
64	84	1219
65	85	1205
66	85	1192
67	86	1179
68	86	1166
69	86	1153
70	87	1141
71	87	1129
72	88	1119
73	88	1109
74	89	1097
75	89	1087
76	89	1076
77	90	1065
78	90	1055
79	90	1046
80	91	1036
81	91	1027
82	91	1015
83	92	1007
84	92	998
85	93	990
86	93	983
87	94	975
88	94	968
89	94	960
90	95	952
91	95	945
92	96	937
93	96	930
94	96	923
95	97	915
96	97	908
97	97	901
98	98	894
99	98	888
100	99	881
101	99	875
102	99	869
103	100	863
104	100	856
105	100	851
106	101	845
107	101	839
108	102	834
109	102	829
110	102	824
111	103	819
112	103	814
113	104	809
114	104	804
115	104	799
116	105	794
117	105	789
118	105	784
119	106	779
120	106	775
121	106	769
122	107	765
123	107	760
124	108	756
125	108	752
126	108	747
127	109	742
128	110	744
129	110	740
130	111	736
131	111	732
132	111	728
133	112	725
134	112	721
135	112	717
136	113	713
137	113	710
138	114	706
139	114	703
140	115	700
141	115	696
142	115	693
143	116	690
144	116	687
145	116	684
146	117	680
147	117	677
148	118	674
149	118	671
150	118	668
151	119	664
152	119	661
153	119	658
154	120	655
155	120	652
156	120	649
157	121	646
158	121	643
159	122	641
160	122	637
161	122	634
162	123	631
163	123	629
164	123	626
165	124	624
166	124	622
167	125	619
168	125	617
169	125	614
170	126	612
171	126	610
172	127	607
173	127	605
174	127	603
175	128	600
176	128	598
177	129	596
178	129	594
179	130	592
180	130	590
181	130	588
182	131	585
183	131	584
184	132	582
185	132	580
186	133	579
187	133	578
188	134	576
189	134	575
190	135	574
191	135	572
192	136	570
193	137	569
194	137	568
195	138	566
196	138	564
197	139	563
198	139	562
199	140	560
200	140	559
201	141	557
202	141	555
203	141	554
204	142	552
205	142	550
206	143	549
207	143	547
208	144	546
209	144	545
210	145	543
211	145	542
212	146	540
213	146	538
214	146	536
215	147	534
216	147	532
217	147	530
218	148	528
219	148	526
220	148	524
221	149	523
222	149	521
223	150	519
224	150	517
225	150	516
226	151	514
227	151	512
228	151	510
229	152	509
230	152	507
231	153	506
232	153	505
233	153	503
234	154	501
235	154	500
236	154	498
237	155	497
238	155	495
239	156	494
240	156	492
241	156	491
242	157	489
243	157	488
244	158	487
245	158	485
246	158	484
247	159	482
248	159	481
249	159	479
250	160	478
251	160	476
